"gene","removal_reason"
"Vigun06g129300","no readcount"
"Vigun06g129800","no readcount"
"Vigun06g131700","no readcount"
"Vigun06g133000","no readcount"
"Vigun06g133600","no readcount"
"Vigun06g136500","no readcount"
"Vigun06g138400","no readcount"
"Vigun06g140800","no readcount"
"Vigun06g143100","no readcount"
"Vigun06g143500","no readcount"
"Vigun06g143900","no readcount"
"Vigun06g147300","no readcount"
"Vigun06g156200","no readcount"
"Vigun06g157800","no readcount"
"Vigun06g158300","no readcount"
"Vigun06g159500","no readcount"
"Vigun06g160500","no readcount"
"Vigun06g161900","no readcount"
"Vigun06g162500","no readcount"
"Vigun06g164900","no readcount"
"Vigun06g165000","no readcount"
"Vigun06g168300","no readcount"
"Vigun06g168900","no readcount"
"Vigun06g170200","no readcount"
"Vigun06g171400","no readcount"
"Vigun06g176000","no readcount"
"Vigun06g178000","no readcount"
"Vigun06g180100","no readcount"
"Vigun06g180800","no readcount"
"Vigun06g182100","no readcount"
"Vigun06g182300","no readcount"
"Vigun06g183100","no readcount"
"Vigun06g185100","no readcount"
"Vigun06g185300","no readcount"
"Vigun06g186100","no readcount"
"Vigun06g186900","no readcount"
"Vigun06g187100","no readcount"
"Vigun06g192900","no readcount"
"Vigun06g197200","no readcount"
"Vigun06g205300","no readcount"
"Vigun06g206100","no readcount"
"Vigun06g206200","no readcount"
"Vigun06g208200","no readcount"
"Vigun06g209000","no readcount"
"Vigun06g209100","no readcount"
"Vigun06g211200","no readcount"
"Vigun06g211900","no readcount"
"Vigun06g219000","no readcount"
"Vigun06g227000","no readcount"
"Vigun06g228200","no readcount"
"Vigun06g229900","no readcount"
"Vigun06g231200","no readcount"
"Vigun06g232500","no readcount"
"Vigun06g234000","no readcount"
"Vigun06g235400","no readcount"
"Vigun07g003000","no readcount"
"Vigun07g004500","no readcount"
"Vigun07g004700","no readcount"
"Vigun07g006000","no readcount"
"Vigun07g006300","no readcount"
"Vigun07g007900","no readcount"
"Vigun07g019400","no readcount"
"Vigun07g021800","no readcount"
"Vigun07g023800","no readcount"
"Vigun07g026400","no readcount"
"Vigun07g027100","no readcount"
"Vigun07g028100","no readcount"
"Vigun07g034100","no readcount"
"Vigun07g036700","no readcount"
"Vigun07g037100","no readcount"
"Vigun07g038500","no readcount"
"Vigun07g041500","no readcount"
"Vigun07g042300","no readcount"
"Vigun07g042500","no readcount"
"Vigun07g043700","no readcount"
"Vigun07g046300","no readcount"
"Vigun07g046350","no readcount"
